Productos,Precio de Costo,Precio de Venta,Precio de venta a extensiones,Precio Límite,,,
Tamborim Común Contemporánea,"$38,700.00","$58,437.00","$54,567.00","$82,396.17",,,
Tamborim Duralumínio 6 tensores colorido IVSOM,"$48,600.00","$73,386.00","$68,526.00","$103,474.26",,,
Tamborim Duralumínio 6 tensores IVSOM,"$38,100.00","$57,531.00","$53,721.00","$81,118.71",,,
Tamborim Duralumínio 8 tensores IVSOM,"$40,800.00","$61,608.00","$57,528.00","$86,867.28",,,
"Tantan 14""x70cm Duralumínio 6 tensores IVSOM ","$137,100.00","$207,021.00","$193,311.00","$291,899.61",,,
Tensor caixa 20cm IVSOM,"$2,250.00","$3,397.50","$3,172.50","$4,790.48",,,
Tensor de surdo 51cm IVSOM,"$3,000.00","$4,530.00","$4,230.00","$6,387.30",,,
Tensor de surdo 61cm IVSOM,"$3,150.00","$4,756.50","$4,441.50","$6,706.67",,,
Tensor de Tamborim ,"$1,500.00","$2,265.00","$2,115.00","$3,193.65",,,
Tensor repique 30cm IVSOM,"$2,700.00","$4,077.00","$3,807.00","$5,748.57",,,
"Timba 11""x55 cm Cónica Duralumínio 6 tensores IVSOM ","$117,900.00","$178,029.00","$166,239.00","$251,020.89",,,
"Timba 12""x55cm Cónica Duralumínio 6 tensores IVSOM","$122,100.00","$184,371.00","$172,161.00","$259,963.11",,,
"Timbal 14"" Duralumínio 12 tensores IVSOM","$186,300.00","$281,313.00","$262,683.00","$396,651.33",,,
"Timbal 14"" Gope","$419,700.00","$633,747.00","$591,777.00","$893,583.27",,,
"Timbal 14"" Contemporánea","$449,700.00","$679,047.00","$634,077.00","$957,456.27",,,
Tuerca Alta IVSOM,"$1,200.00","$1,812.00","$1,692.00","$2,554.92",,,
Tuerca Alta (Multisom),"$2,400.00","$3,624.00","$3,384.00","$5,109.84",,,
Tuerca de latón IVSOM,"$1,050.00","$1,585.50","$1,480.50","$2,235.56",,,
Tuerca mariposa IVSOM,"$2,550.00","$3,850.50","$3,595.50","$5,429.21",,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
,,$0.00,$0.00,$0.00,,,
